"Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ImageURL","OnView","Height (cm)","Width (cm)"
"Green-Blue-Red (for Parkett no. 35)","Gerhard Richter","4907","German, born 1932","German","1932","0","male","1993","Multiple of oil on canvas","composition: 11 7/16 × 15 3/4\" (29 × 40 cm); sheet: 11 3/4 × 15 3/4\" (29.9 × 40 cm)","Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett","110.1998.1","Multiple","Drawings & Prints","1998-03-05","Y","61953","https://www.moma.org/collection/works/61953","","","29.0","40.0"
"Untitled","Blinky Palermo","4474","German, 1943–1977","German","1943","1977","male","1970","Dyed cotton mounted on muslin","6' 6 3/4\" x 6' 6 3/4\" (200 x 200 cm)","Gift of Jo Carole and Ronald S. Lauder","650.1997","Painting","Painting & Sculpture","1997-06-02","Y","78283","https://www.moma.org/collection/works/78283","https://www.moma.org/media/W1siZiIsIjE1MTQ0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c54d00f27ed284be","","200.0","200.0"
"Daylight Savings Time","Pierre Roy","5065","French, 1880–1950","French","1880","1950","male","1929","Oil on canvas","21 1/2 x 15\" (54.6 x 38.1 cm)","Gift of Mrs. Ray Slater Murphy","1.1931","Painting","Painting & Sculpture","1931-01-19","Y","78294","https://www.moma.org/collection/works/78294","https://www.moma.org/media/W1siZiIsIjIzMzkzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=74825d4c62cd5a8a","","54.6","38.1"
"The Bather","Paul Cézanne","1053","French, 1839–1906","French","1839","1906","male","c. 1885","Oil on canvas","50 x 38 1/8\" (127 x 96.8 cm)","Lillie P. Bliss Collection","1.1934","Painting","Painting & Sculpture","1934-09-23","Y","78296","https://www.moma.org/collection/works/78296","https://www.moma.org/media/W1siZiIsIjQ0NjA2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c6bd692fa0fe0685","\"MoMA, Floor 2, 2 South\"","127.0","96.8"
"Syntheses of Naples","Enrico Prampolini","4720","Italian, 1894–1956","Italian","1894","1956","male","before 1930","Oil on canvas","39 3/8 x 39 1/2\" (100 x 100.3 cm)","Gift of Dr. Julius Spitzer","1.1942","Painting","Painting & Sculpture","1941-12-10","Y","78299","https://www.moma.org/collection/works/78299","https://www.moma.org/media/W1siZiIsIjE4NjgzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9740d0c731c867c2","","100.0","100.3"
